codigo;detalhe;ean;marca;link
11700;LUSQTOFF TBL16-7 TALADRO DE BANCO 16 MM   S;7799110000000;Lusqtoff;https://somosrex.com/taladro-de-banco-16-mm-450-w-c-morza-lusqtoff.html
11716;FLIMPEX PLATO SOPORTE PARA ROTORBITAL  S;5603902454657;Flimpex;
11725;VADEXFLOOR MICROPIISOS ARENA x5 LITROS;763571872734;Vadex;
11727;VADEXFLOOR MICROPISOS NEUTRO X5 LITROS;763571822739;Vadex;
11732;VADEXFLOOR MICROPISOS GRIS PLATA X20 LITROS;763571872765;Vadex;https://somosrex.com/micro-piso-gris-plata-vadexfloor-20-kg.html
11757;ALBA ANTIOXIDO STANDARD X 500 ML;7796374005002;Alba;
11764;REVESTA M4000 ALUMINIO X20 LITROS;0;Revesta;
11765;REVESTA M4000 GRIS OSCURO BRILLANTE X 8 LTS   S;0;Revesta;
11766;BALDOSA PVC MONEDA NEGRO 59.5X59.5 CM x 10 U;7798154180510;hermida;
11791;MATE DE ACERO INOXIDABLE 300 ML BLANCO MATLB-9;7799108042434;Lusqtoff;
11793;KIT MESA PLEGABLE CAMPING 4 SILLAS EXTERIOR MMS-8;0;Lusqtoff;
11794;LUSQTOFF SIL180-8I SILLA PLEGABLE REFORZADA;17799108042578;Lusqtoff;
11797;TERMO ACERO INOXIDABLE 750 CC VERDE TL750-9;0;Lusqtoff;https://somosrex.com/termo-acero-inoxidable-750-ml-lusqtoff-tl750-9.html
11811;EMOCION LATEX SATINADO X 4 LTS;7790715555683;Colorin;
11812;EMOCION LATEX SATINADO X 10 LTS;7790715555690;Colorin;
11813;EMOCION LATEX SATINADO X 20 LTS;7790715555706;Colorin;
11815;REVESTA M4000 BRILLANTE COLOR A PREPARAR X 1 LITROS;0;Revesta;
11818;3D-F-27 FILTRO PARA ASPIRADORA CICLONICA S;7839709809071;3D;
11825;ALBA CONSTRUCTOR EXTERIOR - INTERIOR X   4 LTS ;7796374865903;Alba;https://somosrex.com/latex-interior-constructor-alba-4-lt.html
11863;STRETCH PINTURA PELABLE GRIS MATE X 0.440;7798323401026;Membrana Facil stretch;
11886;LATEX INTERIOR/EXTERIOR OCRE ANDINA X20 LITROS;0;Andina;
11889;CINTA PAPEL ENMASCARAR AZUL OBRA 48mm x50M RAPIFIX;7790817553488;Rapifix;https://somosrex.com/cinta-azul-obra-enmascarar-rapifix-550-48mm-x-40-mts.html
11905;INFLABLE SALVAVIDAS DONAS SURTIDAS 107 CM;6942138939064;Bestway (pileta);https://somosrex.com/dona-donut-inflable-rosa-107-cm-bestway.html
11924;COLORIN FONDO PARA REVESTIIMIENTO BLANCO X  5LTS P;7790715568799;Disal Revestimiento;
11925;COLORIN FONDO PARA REVESTIIMIENTO BLANCO X 25LTS P;7790715568805;Disal Revestimiento;
11926;VITROSPRAY ESMALTE  ALTA TEMPERATURA NEGRO X  1LTS;0;Colorin;https://somosrex.com/esmalte-sintetico-vitrospray-secado-ultrarrapido-1-l-negro-colorin.html
11931;VITROSPRAY ESMALTE  ALTA TEMPERATURA ALUMINIOX  0.500LTS;0;Colorin;
11944;FARBEN ENDURECEDOR  PU/ALTA PERFORMANCE X 0.840  S;0;FARBEN;
12004;COLORIN ENTONADOR UNIVERSAL MARRON X  0.120L P;7790715010137;Colorin;https://somosrex.com/entonador-universal-marron-tersuave-120-cm3.html
12005;COLORIN ENTONADOR UNIVERSAL AMARILLO X  0.120L P;7790715010151;Colorin;https://somosrex.com/entonador-universal-amarillo-tersuave-120-cm3.html
